time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-30 00:00:00+00:00,27,8,4,1
2026-05-01 00:00:00+00:00,39,10,8,4
2026-05-02 00:00:00+00:00,20,6,0,0
2026-05-03 00:00:00+00:00,10,4,4,1
2026-05-04 00:00:00+00:00,31,9,5,2
2026-05-05 00:00:00+00:00,20,5,3,3
2026-05-06 00:00:00+00:00,14,5,4,1
2026-05-07 00:00:00+00:00,15,6,16,3
2026-05-08 00:00:00+00:00,16,7,9,4
2026-05-09 00:00:00+00:00,9,4,1,1
2026-05-10 00:00:00+00:00,12,3,2,1
2026-05-11 00:00:00+00:00,25,6,1,1
2026-05-12 00:00:00+00:00,40,13,3,3
2026-05-13 00:00:00+00:00,19,8,0,0
