url_path,views_total,views_unique
/CBICA/NiChart_DLMUSE,20,7
/CBICA/NiChart_DLMUSE/tree/main/NiChart_DLMUSE/shared/dicts,12,4
/CBICA/NiChart_DLMUSE/issues,10,2
/CBICA/NiChart_DLMUSE/blob/main/NiChart_DLMUSE/shared/dicts/MUSE_ROI_complete_list.csv,8,3
/CBICA/NiChart_DLMUSE/blob/main/NiChart_DLMUSE/shared/dicts/MUSE_mapping_derived_rois.csv,6,3
/CBICA/NiChart_DLMUSE/tree/main/docs,4,3
/CBICA/NiChart_DLMUSE/blob/main/NiChart_DLMUSE/shared/dicts/MUSE_ROI_complete_list.json,4,2
/CBICA/NiChart_DLMUSE/blob/main/NiChart_DLMUSE/shared/dicts/MUSE_mapping_consecutive_indices.csv,4,2
/CBICA/NiChart_DLMUSE/blob/main/README.rst,4,2
/CBICA/NiChart_DLMUSE/issues/85,3,1
