time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,38,12,2,2
2026-04-12 00:00:00+00:00,26,10,1,1
2026-04-13 00:00:00+00:00,23,6,2,2
2026-04-14 00:00:00+00:00,16,7,0,0
2026-04-15 00:00:00+00:00,31,10,5,4
2026-04-16 00:00:00+00:00,10,5,4,4
2026-04-17 00:00:00+00:00,9,5,0,0
2026-04-18 00:00:00+00:00,32,11,4,4
2026-04-19 00:00:00+00:00,20,8,0,0
2026-04-20 00:00:00+00:00,59,20,9,1
2026-04-21 00:00:00+00:00,34,16,1,1
2026-04-22 00:00:00+00:00,80,32,4,3
2026-04-23 00:00:00+00:00,93,28,38,4
2026-04-24 00:00:00+00:00,76,27,31,4
