url_path,views_total,views_unique
/CBICA/NiChart_DLMUSE,29,15
/CBICA/NiChart_DLMUSE/tree/main/docs,5,4
/CBICA/NiChart_DLMUSE/tree/main/NiChart_DLMUSE,5,4
/CBICA/NiChart_DLMUSE/blob/main/NiChart_DLMUSE/shared/dicts/MUSE_ROI_complete_list.csv,4,3
/CBICA/NiChart_DLMUSE/tree/main/NiChart_DLMUSE/shared/dicts,4,3
/CBICA/NiChart_DLMUSE/tree/main,4,2
/CBICA/NiChart_DLMUSE/blob/main/NiChart_DLMUSE/shared/dicts/MUSE_mapping_derived_rois.csv,3,2
/CBICA/NiChart_DLMUSE/releases/tag/0.1.7,3,2
/CBICA/NiChart_DLMUSE/blob/main/Dockerfile,2,1
/CBICA/NiChart_DLMUSE/blob/main/requirements.txt,2,1
