url_path,views_total,views_unique
/CBICA/NiChart_DLMUSE,36,13
/CBICA/NiChart_DLMUSE/tree/main/NiChart_DLMUSE,18,7
/CBICA/NiChart_DLMUSE/blob/main/NiChart_DLMUSE/shared/dicts/MUSE_ROI_complete_list.csv,12,4
/CBICA/NiChart_DLMUSE/tree/main,11,2
/CBICA/NiChart_DLMUSE/tree/main/NiChart_DLMUSE/shared/dicts,8,4
/CBICA/NiChart_DLMUSE/issues/69,7,4
/CBICA/NiChart_DLMUSE/blob/main/NiChart_DLMUSE/shared/dicts/MUSE_mapping_consecutive_indices.csv,6,1
/CBICA/NiChart_DLMUSE/blob/main/NiChart_DLMUSE/__main__.py,4,4
/CBICA/NiChart_DLMUSE/blob/main/NiChart_DLMUSE/shared/dicts/MUSE_mapping_derived_rois.csv,4,3
/CBICA/NiChart_DLMUSE/tree/main/docs,4,3
