url_path,views_total,views_unique
/CBICA/NiChart_DLMUSE,42,22
/CBICA/NiChart_DLMUSE/tree/main/NiChart_DLMUSE,10,5
/CBICA/NiChart_DLMUSE/blob/main/NiChart_DLMUSE/shared/dicts/MUSE_ROI_complete_list.csv,9,5
/CBICA/NiChart_DLMUSE/tree/main/docs,7,4
/CBICA/NiChart_DLMUSE/issues,6,3
/CBICA/NiChart_DLMUSE/blob/main/NiChart_DLMUSE/shared/dicts/MUSE_mapping_derived_rois.csv,4,3
/CBICA/NiChart_DLMUSE/tree/main/NiChart_DLMUSE/shared/dicts,4,3
/CBICA/NiChart_DLMUSE/tree/main/scripts,4,3
/CBICA/NiChart_DLMUSE/tree/main/tests,4,2
/CBICA/NiChart_DLMUSE/blob/main/NiChart_DLMUSE/shared/dicts/MUSE_mapping_consecutive_indices.csv,3,3
