time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-26 00:00:00+00:00,6,3,1,1
2026-01-27 00:00:00+00:00,6,3,5,3
2026-01-28 00:00:00+00:00,3,3,5,3
2026-01-29 00:00:00+00:00,14,8,5,2
2026-01-30 00:00:00+00:00,5,5,0,0
2026-01-31 00:00:00+00:00,7,4,1,1
2026-02-01 00:00:00+00:00,13,9,0,0
2026-02-02 00:00:00+00:00,12,8,0,0
2026-02-03 00:00:00+00:00,22,9,6,1
2026-02-04 00:00:00+00:00,3,3,0,0
2026-02-05 00:00:00+00:00,12,8,2,1
2026-02-06 00:00:00+00:00,7,3,3,2
2026-02-07 00:00:00+00:00,14,6,0,0
2026-02-08 00:00:00+00:00,14,6,4,1
