url_path,views_total,views_unique
/CBICA/NiChart_DLMUSE,47,15
/CBICA/NiChart_DLMUSE/blob/main/requirements.txt,12,3
/CBICA/NiChart_DLMUSE/tree/main/docs,10,7
/CBICA/NiChart_DLMUSE/tree/main/NiChart_DLMUSE,10,7
/CBICA/NiChart_DLMUSE/blob/main/setup.cfg,7,1
/CBICA/NiChart_DLMUSE/tree/main/NiChart_DLMUSE/shared/dicts,6,4
/CBICA/NiChart_DLMUSE/blob/main/Dockerfile,6,1
/CBICA/NiChart_DLMUSE/blob/main/NiChart_DLMUSE/shared/dicts/MUSE_ROI_complete_list.csv,5,4
/CBICA/NiChart_DLMUSE/blob/main/NiChart_DLMUSE/shared/dicts/MUSE_mapping_consecutive_indices.csv,4,2
/CBICA/NiChart_DLMUSE/blob/main/setup.py,4,1
