time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-22 00:00:00+00:00,12,7,6.0,3.0
2025-10-23 00:00:00+00:00,19,4,1.0,1.0
2025-10-24 00:00:00+00:00,4,4,22.0,9.0
2025-10-25 00:00:00+00:00,13,8,1.0,1.0
2025-10-26 00:00:00+00:00,4,4,,
2025-10-27 00:00:00+00:00,16,10,2.0,2.0
2025-10-28 00:00:00+00:00,3,3,35.0,4.0
2025-10-29 00:00:00+00:00,14,9,3.0,2.0
2025-10-30 00:00:00+00:00,20,6,6.0,4.0
2025-10-31 00:00:00+00:00,84,13,87.0,7.0
2025-11-01 00:00:00+00:00,10,5,,
2025-11-02 00:00:00+00:00,6,5,1.0,1.0
2025-11-03 00:00:00+00:00,10,5,10.0,1.0
2025-11-04 00:00:00+00:00,9,5,8.0,3.0
