time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-22 00:00:00+00:00,3,2,,
2025-04-23 00:00:00+00:00,1,1,2.0,1.0
2025-04-24 00:00:00+00:00,6,3,2.0,1.0
2025-04-25 00:00:00+00:00,10,4,1.0,1.0
2025-04-26 00:00:00+00:00,5,2,,
2025-04-27 00:00:00+00:00,5,2,1.0,1.0
2025-04-28 00:00:00+00:00,6,3,8.0,3.0
2025-04-29 00:00:00+00:00,3,3,13.0,3.0
2025-04-30 00:00:00+00:00,8,4,27.0,6.0
2025-05-01 00:00:00+00:00,4,4,23.0,5.0
2025-05-02 00:00:00+00:00,9,6,28.0,6.0
2025-05-03 00:00:00+00:00,14,4,2.0,2.0
2025-05-04 00:00:00+00:00,1,1,3.0,2.0
2025-05-05 00:00:00+00:00,1,1,14.0,2.0
