url_path,views_total,views_unique
/CBICA/NiChart_DLMUSE,24,11
/CBICA/NiChart_DLMUSE/tree/main,9,3
/CBICA/NiChart_DLMUSE/tree/main/NiChart_DLMUSE,6,3
/CBICA/NiChart_DLMUSE/tree/main/NiChart_DLMUSE/shared/dicts,5,3
/CBICA/NiChart_DLMUSE/blob/main/NiChart_DLMUSE/shared/dicts/MUSE_ROI_complete_list.csv,4,3
/CBICA/NiChart_DLMUSE/compare/main...cind:NiChart_DLMUSE:cind-dev,4,1
/CBICA/NiChart_DLMUSE/tree/main/docs,3,3
/CBICA/NiChart_DLMUSE/blob/main/NiChart_DLMUSE/shared/dicts/MUSE_mapping_derived_rois.csv,2,2
/CBICA/NiChart_DLMUSE/blob/main/README.md,2,2
/CBICA/NiChart_DLMUSE/blob/main/NiChart_DLMUSE/shared/dicts/MUSE_ROI_complete_list.json,2,1
