url_path,views_total,views_unique
/CBICA/NiChart_DLMUSE,39,22
/CBICA/NiChart_DLMUSE/blob/main/NiChart_DLMUSE/shared/dicts/MUSE_ROI_complete_list.csv,9,5
/CBICA/NiChart_DLMUSE/tree/main/NiChart_DLMUSE,8,5
/CBICA/NiChart_DLMUSE/tree/main/docs,6,3
/CBICA/NiChart_DLMUSE/issues,5,2
/CBICA/NiChart_DLMUSE/blob/main/NiChart_DLMUSE/shared/dicts/MUSE_mapping_derived_rois.csv,4,3
/CBICA/NiChart_DLMUSE/tree/main/scripts,4,3
/CBICA/NiChart_DLMUSE/blob/main/NiChart_DLMUSE/shared/dicts/MUSE_mapping_consecutive_indices.csv,3,3
/CBICA/NiChart_DLMUSE/blob/main/NiChart_DLMUSE/shared/dicts/MUSE_ROI_complete_list.json,3,2
/CBICA/NiChart_DLMUSE/tree/main/NiChart_DLMUSE/shared/dicts,3,2
