time_iso8601,forks_cumulative
2023-03-30 00:00:00+00:00,1
2023-06-30 00:00:00+00:00,2
2023-09-05 00:00:00+00:00,3
2024-07-15 00:00:00+00:00,4
2025-05-02 00:00:00+00:00,5
